,city,state,country,lat,lng,localtime,tz_id,last_updated,temp_c,condition,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_km,uv,gust_mph
45,Baleshwar,Orissa,India,21.49,86.93,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,30.0,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",13.4,143,SE,1004.0,29.65,1.6,0.06,78,100,36.8,10.0,7.0,27.5
46,Ballia,Bihar,India,25.75,84.17,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,34.3,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",19.0,104,ESE,1005.0,29.66,0.0,0.0,53,100,40.5,10.0,7.0,21.9
47,Bally,West Bengal,India,22.65,88.34,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.2,0.01,75,75,39.1,2.8,7.0,18.3
48,Bally Bally,Western Australia,Australia,-32.17,117.1,2023-07-22 12:53,Australia/Perth,2023-07-22 12:45,15.0,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",4.7,49,NE,1034.0,30.53,0.0,0.0,64,0,14.9,10.0,5.0,5.4
49,Balurghat,West Bengal,India,25.22,88.77,2023-07-22 10:53,Asia/Dhaka,2023-07-22 10:45,31.0,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",13.2,95,E,1007.0,29.75,0.0,0.0,70,70,37.3,10.0,7.0,15.2
50,Bandarlampung,Lampung,Indonesia,-5.43,105.26,2023-07-22 11:53,Asia/Jakarta,2023-07-22 11:45,30.7,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",3.1,73,ENE,1014.0,29.93,0.0,0.0,61,22,34.6,10.0,8.0,3.6
51,Bankura,West Bengal,India,23.25,87.07,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,32.3,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",15.4,112,ESE,1005.0,29.67,0.2,0.01,63,69,38.9,10.0,7.0,20.4
52,Jalkar Bansberia,,Bangladesh,24.62,88.25,2023-07-22 10:54,Asia/Dhaka,2023-07-22 10:45,31.7,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",15.0,111,ESE,1007.0,29.73,0.1,0.0,68,100,38.7,10.0,7.0,17.7
53,Banswara,Rajasthan,India,23.55,74.45,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,26.9,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",8.7,281,WNW,1004.0,29.65,0.3,0.01,86,69,30.8,10.0,6.0,12.3
54,Baranagar,West Bengal,India,22.64,88.37,2023-07-22 10:24,Asia/Kolkata,2023-07-22 10:15,32.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",10.5,90,E,1005.0,29.68,0.2,0.01,75,75,39.3,2.8,7.0,18.1
