city,latitude,longitude,temperature,humidity
Jammu,32.73,74.87,35.2,24
Jamnagar,22.47,70.07,37.2,40
Jamshedpur,22.8,86.18,29.4,76
Jamuria,23.7,87.08,27.2,85
Jaunpur,25.73,82.68,33.5,47
Jehanabad,28.89,58.9,44.0,5
Jetpur,21.73,70.62,36.2,44
Jhansi,25.43,78.58,37.5,31
Jhunjhunun,28.13,75.4,39.5,26
Jind,29.32,76.32,34.2,39
Jodhpur,26.29,73.03,40.2,29
Junagadh,21.52,70.47,34.3,50
Kadapa,14.47,78.82,32.2,54
Kaithal,29.8,76.38,33.5,41
Kakinada,16.93,82.22,39.5,39
Kalol,23.25,72.48,41.9,27
Kalyani,22.98,88.48,25.6,95
Kamarhati,22.67,88.37,25.0,97
Kancheepuram,12.83,79.72,35.9,49
Kanchrapara,22.97,88.43,25.8,96
Kanpur,26.47,80.35,36.2,37
Kanpur,32.58,74.62,35.5,27
Karaikkudi,10.07,78.78,36.0,44
Nagar,22.93,90.17,28.4,89
Karimnagar,18.43,79.15,39.1,28
Karnal,29.68,76.98,34.2,40
Kasganj,27.82,78.65,34.8,40
Kashipur,29.22,78.95,32.5,46
Katihar,25.53,87.58,31.1,66
Khammam,17.25,80.15,39.5,30
Khandwa,21.83,76.33,40.5,22
Khanna,30.7,76.22,35.0,34
Kharagpur,22.33,87.33,26.5,94
Khardaha,22.72,88.38,25.3,96
Khargone,21.82,75.6,40.2,25
Khora,37.05,21.72,23.0,81
Khurja,28.25,77.85,33.3,50
Kirari,-3.39,29.54,19.6,54
Kishanganj,26.12,87.93,31.2,63
Kishangarh,27.82,76.72,34.3,42
Kochi,9.97,76.23,27.4,84
Kolar,13.13,78.13,30.6,52
Kolhapur,16.7,74.22,33.1,45
Kolkata,22.57,88.37,24.5,100
Kollam,8.88,76.59,27.7,84
Korba,22.35,82.68,37.0,32
Kota Bharu,6.13,102.25,27.0,89
Kozhikode,11.25,75.77,28.3,85
Krishnanagar,23.4,88.5,26.8,92
Kulti,23.73,86.85,27.8,83
Kumbakonam,10.97,79.38,34.8,55
Kurichi Lozy,48.08,30.35,14.8,54
Kurnool,15.83,78.05,35.7,43
Lakhimpur,27.95,80.77,32.5,48
Lalitpur,27.67,85.33,19.9,90
Latur,18.4,76.58,38.2,22
Loni,28.75,77.28,34.5,42
Lucknow,26.85,80.92,34.5,42
Ludhiana,30.9,75.85,35.5,31
Machilipatnam,16.17,81.13,37.7,37
Madanapalle,13.55,78.5,30.0,58
Madavaram,13.15,80.24,34.6,60
Madhyamgram,22.7,88.45,25.0,97
Madurai,9.93,78.12,34.5,47
Mahbubnagar,16.73,77.98,35.8,40
Mahesana,23.6,72.4,40.8,28
Mainpuri,27.23,79.02,36.3,37
Malegaon,20.55,74.53,38.5,24
Mandsaur,24.07,75.07,38.0,32
Mandya,12.52,76.9,32.5,46
Mangalore,12.86,74.84,29.4,78
Mangochi,-14.47,35.27,26.0,52
Mathura,27.5,77.68,34.7,46
Maunath Bhanjan,25.94,83.56,32.6,50
Medinipur,22.43,87.33,26.5,95
Meerut,28.98,77.7,32.5,51
Mira,29.7,-9.47,23.2,55
Mirzapur-Cum-Vindhyachal,25.15,82.58,35.5,41
Mogadishu,2.07,45.37,27.1,79
Moradabad,28.83,78.78,33.5,44
Morena,26.5,78.0,37.8,32
Morvi,22.82,70.83,37.7,42
Motihari,26.65,84.92,29.4,70
Muktsar,30.48,74.52,38.0,25
Munger,25.38,86.47,30.4,67
Murwara,23.85,80.4,39.1,24
Mustafabad,30.77,73.7,39.7,21
Muzaffarnagar,29.47,77.68,32.3,48
Muzaffarpur,26.12,85.4,30.0,70
Mysore,12.31,76.65,30.5,53
Nabadwip,23.42,88.37,26.9,92
Nadiad,22.7,72.87,40.3,35
